week_monday,city_abbr,brand_slug,brand_zh,city_name,index,index_log,index_z,y,y_z_global,y_z_by_unit,treat_week,rel_week_async,relw_bucket,treated_it,ever_treated,unit
2019-12-23,GZ,CRF,,广州,198,5.288267030694535,0.1495240802919825,5.288267030694535,0.9714179473564879,-0.5127799357346798,2019-09-16,14,14,1,1,CRF_GZ
2019-12-30,GZ,CRF,,广州,212,5.356586274672012,0.3161632998473554,5.356586274672012,1.0306973135156345,-0.13288933101083014,2019-09-16,15,15,1,1,CRF_GZ
2020-01-06,GZ,CRF,,广州,184,5.214935757608986,-0.0171151392633904,5.214935757608986,0.9077897346440091,-0.9205400345850567,2019-09-16,16,16,1,1,CRF_GZ
2020-01-13,GZ,CRF,,广州,196,5.278114659230517,0.1257184774983578,5.278114659230517,0.9626089191769954,-0.56923241252319,2019-09-16,17,17,1,1,CRF_GZ
2020-01-20,GZ,CRF,,广州,182,5.204006687076795,-0.0409207420570151,5.204006687076795,0.8983067788011363,-0.9813113630106506,2019-09-16,18,18,1,1,CRF_GZ
2020-01-27,GZ,CRF,,广州,201,5.303304908059076,0.1852324844824195,5.303304908059076,0.984466040201936,-0.429161499797922,2019-09-16,19,19,1,1,CRF_GZ
2020-02-03,GZ,CRF,,广州,181,5.198497031265826,-0.0528235434538274,5.198497031265826,0.8935261506030698,-1.011947920969918,2019-09-16,20,20,1,1,CRF_GZ
2019-04-29,HZ,CRF,,杭州,162,5.087596335232384,0.3147816746905678,5.087596335232384,0.797299632498772,-0.002232162420731442,2019-09-16,-20,-20,0,1,CRF_HZ
2019-05-06,HZ,CRF,,杭州,162,5.087596335232384,0.3147816746905678,5.087596335232384,0.797299632498772,-0.002232162420731442,2019-09-16,-19,-19,0,1,CRF_HZ
2019-05-13,HZ,CRF,,杭州,166,5.111987788356544,0.3824322839299313,5.111987788356544,0.8184636530107293,0.1476638452614125,2019-09-16,-18,-18,0,1,CRF_HZ
2019-05-20,HZ,CRF,,杭州,162,5.087596335232384,0.3147816746905678,5.087596335232384,0.797299632498772,-0.002232162420731442,2019-09-16,-17,-17,0,1,CRF_HZ
2019-05-27,HZ,CRF,,杭州,161,5.081404364984463,0.2978690223807269,5.081404364984463,0.7919269724662045,-0.04028449227272186,2019-09-16,-16,-16,0,1,CRF_HZ
2019-06-03,HZ,CRF,,杭州,165,5.10594547390058,0.3655196316200904,5.10594547390058,0.813220846588547,0.1105312148478563,2019-09-16,-15,-15,0,1,CRF_HZ
2019-06-10,HZ,CRF,,杭州,211,5.351858133476067,1.143501637872771,5.351858133476067,1.0265947913434188,1.6217706527455504,2019-09-16,-14,-14,0,1,CRF_HZ
